date,open,high,low,close,volume,ETF_Turnover
2024-03-13,2445.796,2445.796,2419.453,2427.597,3694867300,2.07
2024-03-14,2431.771,2446.88,2415.062,2423.856,3688224600,1.74
2024-03-15,2417.572,2430.593,2409.61,2427.197,3300750900,2.09
2024-03-18,2424.922,2438.833,2419.876,2438.191,3704725200,1.83
2024-03-19,2430.304,2441.605,2416.029,2416.835,3433251500,2.03
2024-03-20,2412.607,2430.72,2408.484,2426.459,3083861000,1.65
2024-03-21,2432.931,2441.274,2424.876,2427.101,2920841500,1.24
2024-03-22,2417.937,2420.774,2386.205,2403.202,3407355500,3.0
2024-03-25,2398.321,2418.315,2393.06,2401.211,3438373100,1.44
2024-03-26,2404.205,2415.714,2398.601,2413.742,3136249800,1.49
2024-03-27,2408.914,2421.135,2398.937,2398.937,3207291600,1.73
2024-03-28,2395.217,2424.767,2387.416,2401.987,3687080000,2.39
2024-03-29,2399.456,2418.563,2399.279,2414.92,3413358600,1.3
2024-04-01,2422.735,2448.877,2422.735,2441.567,3621001300,1.97
2024-04-02,2441.489,2447.374,2428.027,2435.757,3572642800,1.35
2024-04-03,2439.432,2441.67,2423.876,2430.169,3195998600,1.22
2024-04-08,2419.029,2431.405,2407.359,2414.091,3987359600,1.93
2024-04-09,2411.781,2418.597,2399.283,2404.609,3562286700,1.35
2024-04-10,2403.731,2412.59,2388.683,2396.743,3361270700,1.73
2024-04-11,2383.703,2402.75,2380.513,2394.867,3128803600,1.33
2024-04-12,2397.284,2402.643,2370.277,2374.047,3236375800,1.54
2024-04-15,2367.86,2424.925,2367.763,2424.017,5013050200,2.96
2024-04-16,2414.756,2429.386,2398.432,2412.322,4695248200,2.19
2024-04-17,2407.964,2440.578,2397.439,2439.856,4594460200,2.05
2024-04-18,2430.703,2468.357,2429.626,2445.205,4662446200,2.4
2024-04-19,2433.978,2444.02,2424.172,2430.582,3888469000,1.72
2024-04-22,2433.181,2450.256,2422.767,2424.747,4036806100,1.65
2024-04-23,2420.623,2426.886,2409.95,2413.739,3793205500,1.12
2024-04-24,2422.627,2426.958,2406.881,2424.119,2938685900,1.36
2024-04-25,2419.5,2437.312,2411.571,2431.622,2831781800,1.12
2024-04-26,2432.758,2467.274,2432.758,2461.856,4783802900,2.09
2024-04-29,2458.178,2492.927,2453.478,2474.34,5340119700,2.6
2024-04-30,2473.514,2484.101,2464.244,2464.244,4681437000,1.25
2024-05-06,2495.467,2505.597,2487.322,2495.762,5600781100,2.1
2024-05-07,2496.015,2504.034,2489.367,2499.771,3804263100,1.14
2024-05-08,2495.624,2497.15,2484.383,2486.019,3230611100,1.03
2024-05-09,2483.66,2506.279,2483.66,2501.731,3766211100,0.98
2024-05-10,2508.061,2515.024,2492.362,2508.575,4052864200,1.96
2024-05-13,2499.69,2512.242,2487.654,2506.459,4103674800,1.71
2024-05-14,2507.198,2510.424,2491.248,2496.736,3388568700,1.15
2024-05-15,2494.764,2498.953,2475.959,2477.39,2945728800,1.4
2024-05-16,2484.272,2498.89,2475.838,2489.414,3919933900,1.58
2024-05-17,2492.571,2524.179,2485.819,2524.171,4421856300,1.93
2024-05-20,2529.916,2544.525,2524.194,2532.824,4669198500,1.33
2024-05-21,2526.937,2531.633,2518.27,2525.233,3311864500,1.01
2024-05-22,2524.694,2535.064,2519.026,2529.04,3807604800,1.18
2024-05-23,2518.144,2519.071,2495.161,2500.821,3504800300,2.07
2024-05-24,2494.368,2504.413,2473.231,2474.425,3129424200,1.89
2024-05-27,2478.259,2500.115,2478.259,2497.601,3577089700,1.74
2024-05-28,2498.026,2505.787,2486.097,2490.161,3300357300,1.01
